Ep 92 | Steps: 165 | Reward: 4.17 | Loss: 0.0646 | Epsilon: 0.397 | Success: NO
Ep 93 | Steps: 300 | Reward: -51.21 | Loss: 0.0730 | Epsilon: 0.393 | Success: NO
Ep 94 | Steps: 300 | Reward: -12.34 | Loss: 0.0767 | Epsilon: 0.389 | Success: NO
Ep 95 | Steps: 161 | Reward: -41.23 | Loss: 0.0715 | Epsilon: 0.385 | Success: NO
Ep 96 | Steps: 300 | Reward: 16.19 | Loss: 0.0773 | Epsilon: 0.381 | Success: NO
Ep 97 | Steps: 300 | Reward: 30.64 | Loss: 0.0734 | Epsilon: 0.377 | Success: NO
Ep 98 | Steps: 45 | Reward: 41.07 | Loss: 0.0839 | Epsilon: 0.373 | Success: NO
Ep 99 | Steps: 300 | Reward: -12.75 | Loss: 0.0682 | Epsilon: 0.370 | Success: NO
Ep 100 | Steps: 300 | Reward: -43.01 | Loss: 0.0742 | Epsilon: 0.366 | Success: NO
Ep 101 | Steps: 300 | Reward: 12.34 | Loss: 0.0724 | Epsilon: 0.362 | Success: NO
Ep 102 | Steps: 300 | Reward: 42.91 | Loss: 0.0700 | Epsilon: 0.359 | Success: NO
Ep 103 | Steps: 300 | Reward: -86.76 | Loss: 0.0767 | Epsilon: 0.355 | Success: NO
Ep 104 | Steps: 300 | Reward: 15.74 | Loss: 0.0837 | Epsilon: 0.352 | Success: NO
Ep 105 | Steps: 300 | Reward: -45.39 | Loss: 0.0877 | Epsilon: 0.348 | Success: NO
Ep 106 | Steps: 113 | Reward: 48.44 | Loss: 0.0670 | Epsilon: 0.345 | Success: NO
Ep 107 | Steps: 300 | Reward: 368.69 | Loss: 0.0800 | Epsilon: 0.341 | Success: YES
Ep 108 | Steps: 300 | Reward: 48.69 | Loss: 0.0766 | Epsilon: 0.338 | Success: NO
Ep 109 | Steps: 300 | Reward: 8.10 | Loss: 0.0802 | Epsilon: 0.334 | Success: NO
Ep 110 | Steps: 300 | Reward: 13.12 | Loss: 0.0853 | Epsilon: 0.331 | Success: NO
Ep 111 | Steps: 300 | Reward: -26.67 | Loss: 0.0866 | Epsilon: 0.328 | Success: NO
Ep 112 | Steps: 300 | Reward: -52.94 | Loss: 0.0799 | Epsilon: 0.324 | Success: NO
Ep 113 | Steps: 300 | Reward: -130.80 | Loss: 0.0926 | Epsilon: 0.321 | Success: NO
Ep 114 | Steps: 300 | Reward: -13.62 | Loss: 0.0892 | Epsilon: 0.318 | Success: NO
Ep 115 | Steps: 300 | Reward: -12.76 | Loss: 0.1008 | Epsilon: 0.315 | Success: NO
Ep 116 | Steps: 141 | Reward: -75.20 | Loss: 0.0831 | Epsilon: 0.312 | Success: NO
Ep 117 | Steps: 300 | Reward: -18.96 | Loss: 0.0952 | Epsilon: 0.309 | Success: NO
Ep 118 | Steps: 300 | Reward: 19.18 | Loss: 0.0885 | Epsilon: 0.305 | Success: NO
Ep 119 | Steps: 300 | Reward: 36.33 | Loss: 0.0784 | Epsilon: 0.302 | Success: NO
Ep 120 | Steps: 300 | Reward: -13.62 | Loss: 0.0937 | Epsilon: 0.299 | Success: NO
Ep 121 | Steps: 300 | Reward: 12.84 | Loss: 0.0893 | Epsilon: 0.296 | Success: NO
Ep 122 | Steps: 300 | Reward: 4.33 | Loss: 0.0989 | Epsilon: 0.293 | Success: NO
Ep 123 | Steps: 300 | Reward: -2.42 | Loss: 0.0889 | Epsilon: 0.290 | Success: NO
Ep 124 | Steps: 300 | Reward: 17.62 | Loss: 0.0929 | Epsilon: 0.288 | Success: NO
Ep 125 | Steps: 211 | Reward: -8.85 | Loss: 0.0962 | Epsilon: 0.285 | Success: NO
Ep 126 | Steps: 300 | Reward: 14.53 | Loss: 0.0911 | Epsilon: 0.282 | Success: NO
